key,instantiationMoment,startDate,endDate,picture,slogan,link
"# Base Banner #"
banner-01,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
"# Possible values on InstantiationMoment #"
banner-02,2000/01/01 00:00,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-03,2000/01/01 00:01,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-04,2011/04/16 00:00,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-05,2022/07/29 23:59,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-06,2022/07/30 00:00,2022/08/15 00:00,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
"# Possible values on StartDate #"
banner-07,2000/01/01 00:00,2000/01/01 00:01,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-08,2000/01/01 00:00,2000/01/01 00:02,2024/12/31 14:23,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-09,2020/07/12 17:54,2050/01/01 00:00,2100/01/01 00:00,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-10,2020/07/12 17:54,2099/12/24 23:59,2100/01/01 00:00,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-11,2020/07/12 17:54,2099/12/25 00:00,2100/01/01 00:00,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
"# Possible values on EndDate #"
banner-12,2000/01/01 00:00,2000/01/01 00:01,2000/01/08 00:01,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-13,2000/01/01 00:00,2000/01/01 00:01,2000/01/08 00:02,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-14,2020/07/12 17:54,2022/08/15 00:00,2050/01/04 00:00,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-15,2020/07/12 17:54,2022/08/15 00:00,2099/12/31 23:59,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
banner-16,2020/07/12 17:54,2022/08/15 00:00,2100/01/01 00:00,https://i.imgur.com/X7hCsLY.png,Keep visiting us,https://es.wikipedia.org/wiki/Am%C3%A9rica_del_Sur
"# Possible values on Picture-Link (regular URLs) #"
"                   # Length #"
banner-17,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,http://,Keep visiting us,http://
banner-18,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,http://a,Keep visiting us,http://a
banner-19,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magn.jpg,Keep visiting us,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/eli/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/ali
banner-20,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/asu.jpg,Keep visiting us,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/du
banner-21,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/asus.jpg,Keep visiting us,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/due
"                   # Content #"
banner-22,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,http://192.168.1.10:8081/path/a/imagen-con-acento_ñ.jpg,Keep visiting us,http://203.0.113.25:8080/path/con_caracteres-especiales/acción?query=valor%20extraño
banner-23,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,https://www.dominio-raro.com:8443/subdir/foto_extraña_😊.png,Keep visiting us,https://subdominio.extravagante.dominio.com:4433/usuarios/nombres_con_simbolos?user=nombre_único
banner-24,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,ftp://usuario@servidor.com:21/downloads/archivo%20espacio.gif,Keep visiting us,ftp://admin@192.168.10.5:21/directorio/subdirectorio/acción-descarga?file=excepción
banner-25,2020/07/12 17:54,2022/08/15 00:00,2024/12/31 14:23,http://[2001:db8::1]:9090/images/caracteres-especiales-ñü.bmp,Keep visiting us,https://[2001:db8::ff00:42:8329]:9090/página/de/contenido-único?lang=español
"# Possible values on Slogan #"
"         # Length #"
