key,code,instantiationMoment,heading,description,department,email,link,draftMode
"# Base Claim #"
claim-01,C-2560,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
"# Possible values on Code #"
claim-02,C-0000,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
claim-03,C-0001,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
claim-04,C-5555,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
claim-05,C-9998,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
claim-06,C-9999,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
"# Possible values on InstantionMoment #"
claim-07,C-5556,2000/01/01 00:00,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
claim-08,C-5557,2000/01/01 00:01,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
claim-09,C-5558,2011/04/16 00:00,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
claim-10,C-5559,2022/07/29 23:59,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
claim-11,C-5560,2022/07/30 00:00,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.google.com/,false
"# Possible values on Heading-Description-Department (regular strings) #"
"                                    # Length #"
claim-12,C-5561,2020/12/04 14:52,F,I,C,claim@acme.com,https://www.google.com/,false
claim-13,C-5562,2020/12/04 14:52,Fo,I',Cu,claim@acme.com,https://www.google.com/,false
claim-14,C-5563,2020/12/04 14:52,Complaint About Unsatisfactory Service,I'm submitting the claim for poor service received,Customer Complaint Department for resolving issues,claim@acme.com,https://www.google.com/,false
claim-15,C-5564,2020/12/04 14:52,Formal Complaint Regarding Delay in Service and Product Quality Issue Here,I'm submitting the claim due to unsatisfactory service and product quality issue experienced lately,Customer Complaint Department dedicated to resolving issues & improving service quality effectively,claim@acme.com,https://www.google.com/,false
claim-16,C-5565,2020/12/04 14:52,Formal Complaint Regarding Delay in Service and Product Quality Issues Here,I'm submitting this claim due to unsatisfactory service and product quality issue experienced lately,Customer Complaints Department dedicated to resolving issues & improving service quality effectively,claim@acme.com,https://www.google.com/,false
"                                    # Content #"
claim-17,C-5566,2020/12/04 14:52,Здесь представлен длинный текст на русском языке для тестирования,我喜欢学习新语言，尤其是汉语和西班牙语。它们非常有趣和有用。它们非常有趣和有用。它们非常有趣和有用。,ذا هو اختبار نص عربي طويل لفحص التعامل مع النصوص غير اللاتينية,claim@acme.com,https://www.google.com/,false
claim-18,C-5567,2020/12/04 14:52,SELECT * FROM users WHERE name = 'John'; DROP TABLE users;,; rm -rf /important/data; #,<?php system('ls'); ?>,claim@acme.com,https://www.google.com/,false
claim-19,C-5568,2020/12/04 14:52,<h1>Welcome to Our Website</h1><p>This is an example of a paragraph.</p>,<a href='https://example.com'>Visit Example Site</a>,<button type='button'>Click Me!</button>,claim@acme.com,https://www.google.com/,false
claim-20,C-5569,2020/12/04 14:52,😊😄👍✨🎉❤️🌟🌈🐱‍👤🍕🌍🚀🌻,ᚠᛇᛚᛒᚱᚴᚾᚼ𐌰𐌹𐌳𐍈𐎀𐎈𐎙𐎜𒀀𒀭𒈠𒁲𒅗𒄖𒈦,✿✪✧✯✰✬✫✩❀❁❃❇❈❉❊❋✽✾✿✾✥❊❦❧❧✣❊❃❅❈❇,claim@acme.com,https://www.google.com/,false
claim-21,C-5570,2020/12/04 14:52,alert('This is an alert message! Please check your input.');,echo '<script>alert(\'Success: Your data has been saved.\');</script>';,MessageBox.Show('Notice: Changes have been saved successfully.');,claim@acme.com,https://www.google.com/,false
"# Possible values on Email #"
"          # Length #"
claim-22,C-5571,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,null,https://www.google.com/,false
claim-23,C-5572,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,c@l.es,https://www.google.com/,false
claim-24,C-5573,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,c@l.com,https://www.google.com/,false
claim-25,C-5574,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,customer.service@claims2024.examplecompany.com.com.com.com.comclaims.followup.support.examplecompany.com.issue.resolution.help.com,https://www.google.com/,false
claim-26,C-5575,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolo.bu.es,https://www.google.com/,false
claim-27,C-5576,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolo.bu.org,https://www.google.com/,false
"          # Content #"
claim-28,C-5577,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,support@[10.0.0.1],https://www.google.com/,false
claim-29,C-5578,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,test%email@another-subdomain.example.com,https://www.google.com/,false
claim-30,C-5579,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,contact@domain-with.special_chars.info,https://www.google.com/,false
claim-31,C-5580,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,firstname.lastname+extra@long-domain-with-variations.org,https://www.google.com/,false
"# Possible values on Link #"
"          # Length #"
claim-32,C-5581,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,null,false
claim-33,C-5582,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,ftp://c,false
claim-34,C-5583,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,ftp://cl,false
claim-35,C-5584,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.examplecompany.com/customer-service/claims/submit?user_id=1234567890&session_id=abcdefg123456&issue_type=productosefcea,false
claim-36,C-5585,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.examplecompany.com/customer-service/claims/submit?user_id=1234567890&session_id=abcdefg123456&issue_type=product_defect&description=I%20would%20like%20to%20file%20a%20claim%20for%20a%20defective%20product%20I%20purchased%20on%20January%2015%2,false
claim-37,C-5586,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://www.examplecompany.com/customer-service/claims/submit?user_id=1234567890&session_id=abcdefg123456&issue_type=product_defect&description=I%20would%20like%20to%20file%20a%20claim%20for%20a%20defective%20product%20I%20purchased%20on%20January%2015%2.,false
"         # Content #"
claim-38,C-5587,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,http://10.0.0.2:9090/api/datos/raro?info=valor&lista[]=tres&lista[]=cuatro#inicio,false
claim-39,C-5588,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,http://www.dominio-sin_acentos.com/contenido/órgano/recurso?par=valor#otra-sección,false
claim-40,C-5589,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,https://subdominio.extension-con-guiones.y_numeros5678.net/path/to/datos?consulta=valor&filtro=nuevo#sección,false
claim-41,C-5590,2020/12/04 14:52,Formal Complaint Regarding Defective Service,I'm submitting the claim due to unsatisfactory service,Customer Complaints Department dedicated to resolving issues,claim@acme.com,ftp://usuario@ftp.ejemplo-con-guiones.org:2122/documentos/inusuales/?nombre=archivo2&tipo=pdf#sección-final,false
