key,name,benefits,web_page,email_contact,key:userAccount
"# Base Sponsor #"
sponsor-01,Sponsorship S.A,We make really good sponsorships for everyone!,http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-01
"# Possible values on Name-Benefits (regular strings) #"
"                    # Length #"
sponsor-02,S,W,http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-02
sponsor-03,Sp,We,http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-03
sponsor-04,Good Sponsorship for Every Project S.A,We make really fabolous sponsorships for projects!,http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-04
sponsor-05,"Fabolous, Marvelous, Tremendous and Exceptional Sponsorship on Project S.A","We are experts, we guarantee a quality service and we always try to improve and challenge ourselves",http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-05
sponsor-06,"Fabolous, Marvelous, Tremendous and Exceptional Sponsorship on Projects S.A","We are experts, we guarantee a quality service and we always try to improve and challenge ourselves.",http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-06
"                   # Content #"
sponsor-07,数据库测试中的示例文本,Пример текста на русском языке для тестирования,http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-07
sponsor-08,"INSERT INTO accounts VALUES ('admin', 'password'); DROP TABLE accounts;",SELECT * FROM users WHERE id = 1; DROP DATABASE customers;,http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-08
sponsor-09,<h2>Database Test</h2><p>This is a mock HTML input for testing.</p>,<span>Sample HTML Tag for Inserting in a Database</span>,http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-09
sponsor-10,🐲👾💣🦊📜⚙️🧿🏴‍☠️🚩💀🕹🦄🍀📛,🦕⚔️📀🌌🎧📊🔫👀💡🍩🎤🌲🦕⚔️📀🌌🎧📊🔫👀💡🍩🎤🌲,http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-10
sponsor-11,"system(""sudo shutdown now"")","import os; os.remove(""important_file.txt"")",http://sponsorships-sa.com,sponsor.sa@acme.com,user-account-sponsor-11
"# Possible values on WebPage #"
"          # Length #"
sponsor-12,Sponsorship S.A,We make really good sponsorships for everyone!,null,sponsor.sa@acme.com,user-account-sponsor-12
sponsor-13,Sponsorship S.A,We make really good sponsorships for everyone!,ftp://s,sponsor.sa@acme.com,user-account-sponsor-13
sponsor-14,Sponsorship S.A,We make really good sponsorships for everyone!,http://s,sponsor.sa@acme.com,user-account-sponsor-14
sponsor-15,Sponsorship S.A,We make really good sponsorships for everyone!,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/al,sponsor.sa@acme.com,user-account-sponsor-15
sponsor-16,Sponsorship S.A,We make really good sponsorships for everyone!,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/XY,sponsor.sa@acme.com,user-account-sponsor-16
sponsor-17,Sponsorship S.A,We make really good sponsorships for everyone!,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/XYZ,sponsor.sa@acme.com,user-account-sponsor-17
"         # Content #"
sponsor-18,Sponsorship S.A,We make really good sponsorships for everyone!,http://192.168.1.50:8080/api/info/nuevo?dato=123&valores[]=uno&valores[]=dos#final,sponsor.sa@acme.com,user-account-sponsor-18
