key,code,moment,start_date,end_date,amount,type,contact,link,draft_mode,key:project,key:sponsor
sponsorship-01,AAA-000,2022/03/17 03:00,2022/03/17 03:01,2022/07/30 03:00,USD 246.89,FINANCIAL,a@b.es,http://www.lorem-ipsum.org,true,project-14,sponsor-02
sponsorship-02,DXK-347,2022/01/06 14:56,2022/09/06 10:47,2022/10/07 10:47,GBP 101.00,FINANCIAL,a@b.esx,ftp://a,true,project-15,sponsor-01
sponsorship-03,AAA-999,2022/07/30 00:00,2022/07/30 00:01,2022/08/30 00:01,EUR 999.63,FINANCIAL,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es,ftp://a.b,true,project-16,sponsor-03
sponsorship-04,ZZZ-000,2022/07/29 23:59,2022/07/30 00:00,2022/09/30 15:02,USD 1000000.00,IN_KIND,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.org,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/,false,project-17,sponsor-04
sponsorship-05,XY-014,2022/03/20 21:43,2022/06/14 23:12,2022/12/04 21:30,EUR 0.01,FINANCIAL,acme.password@lorem-ipsum.org,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X,true,project-18,sponsor-05
sponsorship-06,ZZZ-999,2022/05/15 23:12,2022/05/15 23:13,2022/08/03 16:00,GBP 46.83,IN_KIND,acme@lorem-ipsum.org,https://www.lorem-ipsum.org,false,project-19,sponsor-06
sponsorship-07,A-000,2020/07/05 17:52,2022/08/15 14:43,2022/09/15 14:43,USD 345.20,FINANCIAL,emailcontacto@g-mail.com,ftp://www.lorem-ipsum.org,true,project-04,sponsor-07
sponsorship-08,XJ-019,2019/07/30 19:33,2021/07/23 19:33,2022/08/28 18:54,EUR 33.98,IN_KIND,acme@yahoo.es,http://www.lorem-ipsum.org/dolor/sit.html,false,project-05,sponsor-02
sponsorship-09,Z-999,2022/02/22 16:30,2022/05/01 11:50,2022/07/30 00:01,GBP 435.25,FINANCIAL,usuario@prueba.com,http://www.lorem-ipsum.org/dolor/sit.html#dolor,true,project-07,sponsor-03
sponsorship-10,WNR-117,2020/07/05 17:52,2020/07/23 14:00,2022/09/15 16:43,USD 14523.45,IN_KIND,exchange@money.org,http://example.org?a=1&b=2,true,project-14,sponsor-04
sponsorship-11,A-999,2018/07/30 00:00,2018/07/31 00:00,2022/11/03 12:33,EUR 0.45,IN_KIND,null,http://example.org/a/b?a&b,true,project-15,sponsor-05
sponsorship-12,FEP-710,2019/12/04 22:13,2021/12/04 23:13,2022/12/15 22:39,GBP 24500.00,IN_KIND,acme@framework.es,null,false,project-16,sponsor-02
sponsorship-13,TQ-300,2022/02/28 00:00,2022/07/30 13:27,2022/08/30 20:00,USD 10.65,FINANCIAL,null,null,true,project-05,sponsor-01
sponsorship-14,Z-000,2021/05/11 23:55,2022/07/11 12:55,2022/12/25 14:43,EUR 999999.99,IN_KIND,act@me.com,http://example.org?a&b,false,project-07,sponsor-03
sponsorship-15,DEF-121,2020/03/29 12:00,2020/06/30 11:00,2022/11/11 11:11,GBP 79631.01,FINANCIAL,contact@acme.com,http://example.org/a,false,project-18,sponsor-04
sponsorship-16,WD-411,2022/06/16 14:54,2022/07/16 11:54,2022/08/26 00:00,USD 500.00,FINANCIAL,alfredo@alfredo.com,http://example.org/a/b?,false,project-19,sponsor-07
